,0,1,2,3,4,5,6,7,8,9,10
ECOG_LEFT_RawHjorth_Activity,-0.04596744903572059,-0.03725811356456954,0.0028040995508443745,-0.027586418454189188,-0.02318543893054037,-0.0044759696390915815,-0.03526099666044957,-0.03251645477653303,0.002218236860741074,-0.009962026065898688,-0.00721359928477161
ECOG_LEFT_RawHjorth_Mobility,0.0019130666132385343,-0.02499238393274472,0.010496160855155812,-0.044187345045311854,-0.018485069447903513,-0.01183382571350522,-0.06449186751623764,-0.02699046536408778,-0.0266206624660712,-0.020014784826956178,-0.027596671166703723
ECOG_LEFT_RawHjorth_Complexity,-0.024412034962616347,-0.05708670165046931,-0.06444296263355453,-0.051589793953306096,-0.04690089417895538,-0.0401276944504963,-0.08368491057034644,-0.017145816999045826,-0.02156405289798169,-0.051487861640941546,-0.02949453637420607
ECOG_RIGHT_RawHjorth_Activity,-0.038761497001700396,-0.05813620593270541,-0.0639759981396597,-0.06449751079649202,-0.051972000185238176,-0.04252958197825829,-0.08892648278794757,-0.016454298046730653,-0.04416585346786228,-0.058317963409608264,-0.012698160407602077
ECOG_RIGHT_RawHjorth_Mobility,-0.10246119042629204,-0.08248201078661382,0.014900184985202847,-0.10450306256358177,-0.08015907581722548,-0.05236198716891172,-0.08127237943613569,-0.012837487327978125,-0.04000635858101931,-0.05776127818034671,-0.029393329640037158
ECOG_RIGHT_RawHjorth_Complexity,-0.10740866614520339,-0.10199999250810132,-0.015891556458706324,-0.18104230060875748,-0.0936258010606375,-0.05040881862325136,-0.08562798166947133,-0.02267969269060971,-0.054430347097001786,-0.07501045645977422,-0.04883030709778563
ECOG_LEFT_raw,-0.11013797133308123,-0.10263927176618554,-0.0033216227391361652,-0.18208909868547263,-0.09175555186169304,-0.05073453223756974,-0.08742224116493391,-0.025653883051918458,-0.05233423071972776,-0.07461316442228605,-0.05165668739768692
ECOG_RIGHT_raw,-0.1056846259683843,-0.10077647569885306,-0.006338924541889224,-0.18310935265624795,-0.09360512175799279,-0.04776993735906476,-0.08496818641062359,-0.022442746223096943,-0.053305606638401004,-0.07587671321363199,-0.051856849916747716
ECOG_LEFT_bandpass_activity_low beta,-0.10761161006173181,-0.09921188255706087,-0.006824183810832829,-0.18322285030851437,-0.09478889231667098,-0.05125570596475432,-0.0881013977969245,-0.020517599597634884,-0.0529837629981752,-0.07716614678052736,-0.052877188962322685
ECOG_LEFT_bandpass_activity_high beta,-0.10414213988304871,-0.09620948217292907,-0.005768117286559238,-0.185839814189673,-0.09377783758510883,-0.050225468702452924,-0.08551077339879704,-0.01792521781480466,-0.05383387791322525,-0.07331204328461405,-0.051024919434316696
ECOG_LEFT_bandpass_activity_low gamma,-0.10206833352494021,-0.1005242661854654,-0.0023789060307667365,-0.18548032791728286,-0.09332936814934867,-0.04714568819028203,-0.08882136579491101,-0.01946248565816283,-0.05440596813933729,-0.07378794090378182,-0.05086710036660613
ECOG_LEFT_bandpass_activity_high gamma,-0.10651638670682495,-0.10013126293530872,-0.006000379276272949,-0.18517031884963298,-0.09814702320311991,-0.04851425927317382,-0.08167213983574712,-0.01750322326153453,-0.05109551796983369,-0.07266275943015399,-0.05170029371161128
ECOG_LEFT_bandpass_activity_HFA,-0.11169274240153987,-0.10030018779282185,-0.005250502791437683,-0.18260878923977875,-0.09954759417144926,-0.04594252568805496,-0.08991738164158669,-0.021199455512187382,-0.05492312465929661,-0.0720413684611555,-0.05475779438215206
ECOG_RIGHT_bandpass_activity_low beta,-0.10795259526101025,-0.09951629962134645,-0.0065089877365485105,-0.18747881881078454,-0.09718622648576564,-0.04858098716305209,-0.08892033257318976,-0.024615032386678115,-0.054720504366777,-0.07511843220117631,-0.0552965451221612
ECOG_RIGHT_bandpass_activity_high beta,-0.11380183016782913,-0.09993178090000387,-0.004999265369217132,-0.1821185958590117,-0.09668362591682944,-0.051371194352228144,-0.08775522962406512,-0.02209994899390122,-0.05686054017378872,-0.07578230172208211,-0.056638863475025336
