,0
ECOG_LEFT_RawHjorth_Activity,0.014670809349415316
ECOG_LEFT_RawHjorth_Mobility,-0.0029207523296555767
ECOG_LEFT_RawHjorth_Complexity,0.02168833149869922
ECOG_RIGHT_RawHjorth_Activity,0.006602243562889016
ECOG_RIGHT_RawHjorth_Mobility,0.012739265549561063
ECOG_RIGHT_RawHjorth_Complexity,0.02244433444333538
ECOG_LEFT_raw,0.0041024670044410875
ECOG_RIGHT_raw,-0.0003691624860475998
ECOG_LEFT_bandpass_activity_low beta,0.0043574344317649505
ECOG_LEFT_bandpass_activity_high beta,0.00023712133449477706
ECOG_LEFT_bandpass_activity_low gamma,-0.0006290249563311741
ECOG_LEFT_bandpass_activity_high gamma,0.0028251576762313812
ECOG_LEFT_bandpass_activity_HFA,0.0017097903227219742
ECOG_RIGHT_bandpass_activity_low beta,0.0007640150838560501
ECOG_RIGHT_bandpass_activity_high beta,0.005224104471025998
ECOG_RIGHT_bandpass_activity_low gamma,0.005723893582395042
ECOG_RIGHT_bandpass_activity_high gamma,0.009300912263243062
ECOG_RIGHT_bandpass_activity_HFA,-0.004908522680917773
ECOG_LEFT_stft_low beta,-0.0009448160772894273
ECOG_LEFT_stft_high beta,0.007289501343237107
ECOG_LEFT_stft_low gamma,0.002032227518314515
ECOG_LEFT_stft_high gamma,0.005139659901368624
ECOG_LEFT_stft_HFA,0.0035242272616325247
ECOG_RIGHT_stft_low beta,0.004301578650254106
ECOG_RIGHT_stft_high beta,0.00502165928074729
ECOG_RIGHT_stft_low gamma,-0.0026166880775946515
ECOG_RIGHT_stft_high gamma,0.0014979240077459645
ECOG_RIGHT_stft_HFA,-0.005040235709396893
ECOG_LEFT_fft_low beta,0.0016955264635876155
ECOG_LEFT_fft_high beta,0.018052121787425494
ECOG_LEFT_fft_low gamma,0.006427330386676997
ECOG_LEFT_fft_high gamma,0.0070351024322251095
ECOG_LEFT_fft_HFA,0.006199456558863659
ECOG_RIGHT_fft_low beta,0.0037867793072507375
ECOG_RIGHT_fft_high beta,0.00813748810795672
ECOG_RIGHT_fft_low gamma,0.003320777593001786
ECOG_RIGHT_fft_high gamma,0.009703422149007707
ECOG_RIGHT_fft_HFA,-0.0024736148834896073
ECOG_LEFT_Sharpwave_Max_prominence_range_5_80,0.0009027470812678578
ECOG_LEFT_Sharpwave_Mean_interval_range_5_80,-0.0016036219212077157
ECOG_LEFT_Sharpwave_Max_sharpness_range_5_80,0.000947417711946982
ECOG_LEFT_Sharpwave_Max_prominence_range_5_30,0.012948913628845345
ECOG_LEFT_Sharpwave_Mean_interval_range_5_30,-0.000659311278392855
ECOG_LEFT_Sharpwave_Max_sharpness_range_5_30,0.0023644848715136694
ECOG_RIGHT_Sharpwave_Max_prominence_range_5_80,0.008039089319248875
ECOG_RIGHT_Sharpwave_Mean_interval_range_5_80,0.0069684665375971755
ECOG_RIGHT_Sharpwave_Max_sharpness_range_5_80,0.004527963359204417
ECOG_RIGHT_Sharpwave_Max_prominence_range_5_30,0.0029158373341711323
ECOG_RIGHT_Sharpwave_Mean_interval_range_5_30,-0.00088900650942963
ECOG_RIGHT_Sharpwave_Max_sharpness_range_5_30,0.0018235978982430658
ECOG_LEFT_fooof_a_exp,0.0037067312275385774
